,buyprice,buytime,date,pnl,pos,quantity,sellprice,selltime,sl,target,type
172,280.6550907670617,11:30:00,2021-01-04,-65.50907670617221,closed,100.0,280.0,11:15:00,280.6550907670617,279.3449092329383,sell
173,281.6,12:45:00,2021-01-04,-96.7883358750612,closed,100.0,280.6321166412494,13:00:00,280.6321166412494,282.56788335875063,buy
174,280.8697097858351,15:00:00,2021-01-04,-136.97097858350844,closed,100.0,279.5,14:15:00,280.8697097858351,277.62532246018327,sell
175,278.94279340962504,11:05:00,2021-01-05,-14.279340962502829,closed,100.0,278.8,09:15:00,278.94279340962504,277.1737711254684,sell
176,279.7,11:20:00,2021-01-05,-44.594520489033584,closed,100.0,279.25405479510965,13:00:00,279.25405479510965,281.11526820789766,buy
177,279.6078036840357,13:35:00,2021-01-05,-100.78036840356503,closed,100.0,278.6,13:20:00,279.6078036840357,277.5921963159644,sell
178,280.95,14:10:00,2021-01-05,144.53020888240644,closed,100.0,282.39530208882405,14:45:00,280.4880697995225,282.39530208882405,buy
179,281.9,14:50:00,2021-01-05,-14.999999999997726,closed,100.0,281.75,15:20:00,280.76365288385193,283.036347116148,buy
180,283.5,09:15:00,2021-01-06,212.06111169368,closed,100.0,285.6206111169368,09:25:00,282.3014499947568,285.6206111169368,buy
181,286.0,09:30:00,2021-01-06,217.58255042469727,closed,100.0,288.175825504247,09:45:00,285.01758134156,288.175825504247,buy
182,288.0,09:50:00,2021-01-06,-182.65091133364422,closed,100.0,286.17349088666356,11:25:00,286.17349088666356,289.82650911333644,buy
183,287.65,12:25:00,2021-01-06,-93.2333174008761,closed,100.0,286.7176668259912,13:15:00,286.7176668259912,288.87705748447695,buy
184,283.7968587732396,13:40:00,2021-01-06,170.31412267604082,closed,100.0,285.5,13:35:00,287.2031412267604,283.7968587732396,sell
185,281.78467289591566,14:10:00,2021-01-06,216.53271040843265,closed,100.0,283.95,13:45:00,284.78591495430834,281.78467289591566,sell
186,283.2016986984784,14:30:00,2021-01-06,64.83013015215988,closed,100.0,283.85,14:25:00,284.4983013015216,283.2016986984784,sell
187,284.4983013015216,14:40:00,2021-01-06,-94.83013015216102,closed,100.0,283.55,14:35:00,284.4983013015216,282.6016986984784,sell
188,289.25,09:15:00,2021-01-07,-101.04461008712065,closed,100.0,288.2395538991288,10:25:00,288.2395538991288,292.30513868432257,buy
189,289.9,13:05:00,2021-01-07,-66.04902763633618,closed,100.0,289.2395097236366,13:35:00,289.2395097236366,291.2820867609423,buy
190,289.85,09:20:00,2021-01-08,-11.010100649980359,closed,100.0,289.7398989935002,10:55:00,289.7398989935002,291.6326046887704,buy
191,287.7260979729129,12:30:00,2021-01-08,112.39020270871265,closed,100.0,288.85,11:50:00,289.2181674079747,287.7260979729129,sell
192,287.10625036362785,13:35:00,2021-01-08,99.3749636372172,closed,100.0,288.1,12:50:00,288.90858950465764,287.10625036362785,sell
193,286.5493021600552,14:10:00,2021-01-08,95.06978399447803,closed,100.0,287.5,13:40:00,288.230403567509,286.5493021600552,sell
194,286.98758920071407,14:45:00,2021-01-08,-123.75892007140692,closed,100.0,285.75,14:15:00,286.98758920071407,284.34712311031774,sell
195,286.98758920071407,09:15:00,2021-01-11,-203.75892007140806,closed,100.0,284.95,09:15:00,286.98758920071407,282.9124107992859,sell
196,283.1777460443295,10:05:00,2021-01-11,177.22539556704646,closed,100.0,284.95,09:20:00,285.15913091795886,283.1777460443295,sell
197,281.67535395645325,10:15:00,2021-01-11,147.4646043546727,closed,100.0,283.15,10:10:00,284.6246460435467,281.67535395645325,sell
198,282.7127132952728,11:05:00,2021-01-11,-191.27132952727948,closed,100.0,280.8,10:20:00,282.7127132952728,278.8872867047272,sell
199,281.87078117637594,13:20:00,2021-01-11,-52.07811763759196,closed,100.0,281.35,12:30:00,281.87078117637594,279.56854462390214,sell
200,278.4536669635378,09:15:00,2021-01-12,139.6333036462238,closed,100.0,279.85,09:15:00,281.24633303646226,278.4536669635378,sell
201,284.15,09:35:00,2021-01-12,-235.17466052228428,closed,100.0,281.79825339477713,10:20:00,281.79825339477713,286.5017466052228,buy
202,283.95,11:10:00,2021-01-12,200.72214873832195,closed,100.0,285.9572214873832,12:00:00,284.09051046652667,285.9572214873832,buy
203,286.5,12:05:00,2021-01-12,169.34365221134158,closed,100.0,288.1934365221134,12:25:00,285.61053477537934,288.1934365221134,buy
204,287.9,12:30:00,2021-01-12,-146.55187021585903,closed,100.0,286.4344812978414,12:50:00,286.4344812978414,289.36551870215857,buy
