,buyprice,buytime,date,pnl,quantity,sellprice,selltime,sl,type
381,487.4,09:30:00,2021-11-23,535.0000000000023,100.0,492.75,15:15:00,480.0,buy
382,497.05,09:44:00,2021-11-24,-325.0,100.0,493.8,14:45:00,493.8,buy
383,494.1,15:15:00,2021-11-24,-30.000000000001137,100.0,493.8,14:46:00,497.05,sell
384,493.9,10:36:00,2021-11-25,-325.0,100.0,490.65,15:15:00,486.4,buy
385,470.8,15:15:00,2021-11-26,889.9999999999977,100.0,479.7,09:57:00,486.6,sell
386,474.75,10:07:00,2021-11-30,-705.0000000000011,100.0,467.7,11:24:00,467.7,buy
387,460.9,15:15:00,2021-11-30,680.0000000000011,100.0,467.7,11:25:00,474.75,sell
388,469.2,10:36:00,2021-12-01,630.0000000000011,100.0,475.5,15:15:00,464.0,buy
389,475.35,10:29:00,2021-12-02,89.99999999999773,100.0,476.25,15:15:00,471.0,buy
390,480.9,09:35:00,2021-12-03,-550.0,100.0,475.4,12:37:00,475.4,buy
391,473.25,15:15:00,2021-12-03,214.99999999999773,100.0,475.4,12:38:00,480.9,sell
392,474.5,09:45:00,2021-12-06,-339.9999999999977,100.0,471.1,09:33:00,474.5,sell
393,474.5,09:46:00,2021-12-06,-339.9999999999977,100.0,471.1,12:20:00,471.1,buy
394,464.3,15:15:00,2021-12-06,680.0000000000011,100.0,471.1,12:21:00,474.5,sell
395,471.75,09:43:00,2021-12-07,444.99999999999886,100.0,476.2,15:15:00,469.3,buy
396,482.85,09:43:00,2021-12-08,-195.00000000000455,100.0,480.9,09:35:00,482.85,sell
397,482.85,09:44:00,2021-12-08,864.9999999999977,100.0,491.5,15:15:00,480.9,buy
398,488.4,15:15:00,2021-12-09,-100.0,100.0,487.4,09:30:00,493.35,sell
399,490.35,14:34:00,2021-12-10,489.9999999999977,100.0,495.25,15:15:00,484.4,buy
400,498.9,09:42:00,2021-12-13,-254.99999999999545,100.0,496.35,12:21:00,496.35,buy
401,487.4,15:15:00,2021-12-13,895.0000000000045,100.0,496.35,12:22:00,498.9,sell
402,485.9,09:30:00,2021-12-14,-269.99999999999886,100.0,483.2,10:20:00,483.2,buy
403,485.9,11:30:00,2021-12-14,-269.99999999999886,100.0,483.2,10:21:00,485.9,sell
404,485.9,11:31:00,2021-12-14,250.0,100.0,488.4,15:15:00,483.2,buy
405,484.85,15:15:00,2021-12-15,200.0,100.0,486.85,10:31:00,491.0,sell
406,481.2,15:15:00,2021-12-16,650.0,100.0,487.7,09:30:00,490.5,sell
407,467.6,15:15:00,2021-12-17,894.9999999999989,100.0,476.55,09:30:00,480.45,sell
408,448.5,15:15:00,2021-12-20,300.0,100.0,451.5,09:46:00,463.1,sell
409,445.95,15:15:00,2021-12-21,700.0,100.0,452.95,13:07:00,458.1,sell
410,454.0,09:35:00,2021-12-22,125.0,100.0,455.25,15:15:00,449.3,buy
411,460.7,09:50:00,2021-12-23,-214.99999999999773,100.0,458.55,09:39:00,460.7,sell
412,460.7,12:12:00,2021-12-23,-214.99999999999773,100.0,458.55,10:10:00,460.7,sell
413,460.7,12:13:00,2021-12-23,230.00000000000114,100.0,463.0,15:15:00,458.55,buy
414,457.0,15:15:00,2021-12-24,194.99999999999886,100.0,458.95,09:31:00,463.4,sell
415,455.9,09:30:00,2021-12-27,190.0000000000034,100.0,457.8,15:15:00,450.65,buy
416,461.95,12:14:00,2021-12-28,-159.9999999999966,100.0,460.35,09:30:00,461.95,sell
417,461.95,12:15:00,2021-12-28,-159.9999999999966,100.0,460.35,14:41:00,460.35,buy
418,461.15,15:15:00,2021-12-28,-79.99999999999545,100.0,460.35,14:42:00,461.95,sell
419,455.0,15:15:00,2021-12-29,419.99999999999886,100.0,459.2,10:16:00,462.15,sell
420,452.5,15:15:00,2021-12-30,-214.99999999999773,100.0,450.35,11:38:00,454.8,sell
421,455.95,09:30:00,2021-12-31,430.00000000000114,100.0,460.25,15:15:00,453.5,buy
422,463.0,09:47:00,2022-01-03,730.0000000000011,100.0,470.3,15:15:00,460.1,buy
423,475.8,09:32:00,2022-01-04,700.0,100.0,482.8,15:15:00,471.05,buy
424,485.55,09:45:00,2022-01-05,734.9999999999966,100.0,492.9,15:15:00,479.25,buy
425,489.5,10:20:00,2022-01-06,-344.99999999999886,100.0,486.05,09:34:00,489.5,sell
426,489.5,10:21:00,2022-01-06,139.99999999999773,100.0,490.9,15:15:00,486.05,buy
427,498.55,09:30:00,2022-01-07,-640.0000000000034,100.0,492.15,12:17:00,492.15,buy
428,491.05,15:15:00,2022-01-07,109.99999999999659,100.0,492.15,12:39:00,498.55,sell
429,497.0,09:38:00,2022-01-10,675.0,100.0,503.75,15:15:00,493.1,buy
430,504.9,11:27:00,2022-01-11,-364.9999999999977,100.0,501.25,09:42:00,504.9,sell
431,504.9,11:28:00,2022-01-11,75.0,100.0,505.65,15:15:00,501.25,buy
432,511.25,09:44:00,2022-01-12,-130.00000000000114,100.0,509.95,15:15:00,508.55,buy
433,511.35,09:44:00,2022-01-13,9.99999999999659,100.0,511.45,15:15:00,507.25,buy
434,509.4,09:37:00,2022-01-14,-89.99999999999773,100.0,508.5,15:15:00,505.55,buy
435,515.4,09:32:00,2022-01-17,-160.00000000000227,100.0,513.8,15:15:00,508.05,buy
436,515.65,13:09:00,2022-01-18,-164.99999999999773,100.0,514.0,09:36:00,515.65,sell
437,515.65,13:10:00,2022-01-18,-164.99999999999773,100.0,514.0,14:32:00,514.0,buy
438,506.9,15:15:00,2022-01-18,710.0000000000023,100.0,514.0,14:37:00,515.65,sell
439,508.7,09:59:00,2022-01-19,-669.9999999999989,100.0,502.0,12:31:00,502.0,buy
440,508.7,14:34:00,2022-01-19,-669.9999999999989,100.0,502.0,12:32:00,508.7,sell
441,508.7,14:35:00,2022-01-19,680.0000000000011,100.0,515.5,15:15:00,502.0,buy
442,518.3,11:47:00,2022-01-20,-429.99999999999545,100.0,514.0,09:50:00,518.3,sell
